ID	age	sex	n_babies	site	year	pop_size	weight
9	0	m	1	2	1980	142	-8.457970081073507
107	0	m	1	2	1980	142	-3.242283339474142
111	0	m	2	2	1980	142	-8.800940664319377
156	0	f	0	1	1980	142	5.439987159601803
217	0	m	1	1	1980	142	-11.548407864553996
277	0	m	0	1	1980	142	NA
356	0	f	1	2	1980	142	3.0585255066365575
422	0	m	1	2	1980	142	-1.6145611831218416
518	0	f	1	1	1980	142	NA
529	0	f	1	1	1980	142	NA
531	0	f	1	1	1980	142	5.082990110315984
547	0	f	2	2	1980	142	NA
685	0	m	2	3	1980	142	-8.159215277141495
725	0	m	2	1	1980	142	2.1676334018898533
740	0	f	2	2	1980	142	3.6753189324148003
757	0	f	2	3	1980	142	1.4982801818625011
813	0	m	0	2	1980	142	-2.7340535036890046
816	0	f	1	3	1980	142	3.4451877075364754
899	0	f	1	2	1980	142	-0.46280066128831243
9	1	m	0	2	1981	147	-9.614709230486184
19	0	m	0	3	1981	147	-7.817920038571591
20	0	m	1	3	1981	147	-13.270201632981998
48	0	f	0	2	1981	147	9.870804575490997
107	1	m	1	2	1981	147	-8.275856621229424
111	1	m	2	2	1981	147	-6.21174752500258
134	0	f	2	3	1981	147	9.642475283668999
135	0	f	1	3	1981	147	0.7010924097049347
156	1	f	2	1	1981	147	6.800248020676332
217	1	m	1	1	1981	147	-8.60848263029545
222	0	f	1	2	1981	147	NA
277	1	m	1	1	1981	147	-7.83002840842384
422	1	m	2	2	1981	147	-4.448899805676496
438	0	m	0	3	1981	147	-7.738010366626698
465	0	f	1	3	1981	147	NA
518	1	f	1	1	1981	147	1.5171760489920876
524	0	f	2	3	1981	147	0.41194541196894086
529	1	f	2	1	1981	147	-2.0286668055789945
531	1	f	1	1	1981	147	3.031190235484042
544	0	m	0	1	1981	147	-7.99111472378616
547	1	f	0	2	1981	147	NA
563	0	f	2	2	1981	147	-8.44383732734763
676	0	f	1	2	1981	147	6.849567871122599
685	1	m	1	3	1981	147	-7.069066874225784
686	0	f	1	1	1981	147	4.617868289247708
693	0	m	1	3	1981	147	-14.722459567997612
720	0	m	1	3	1981	147	-9.480244656779004
725	1	m	0	1	1981	147	-5.2105334832710195
740	1	f	1	2	1981	147	3.017584453320558
752	0	m	0	3	1981	147	-12.435541627352272
753	0	m	1	2	1981	147	-9.392653431541522
757	1	f	1	3	1981	147	-0.22479851360273295
770	0	m	2	1	1981	147	-13.473975519384634
813	1	m	0	2	1981	147	-3.495375838791663
816	1	f	1	3	1981	147	2.3870030203626658
818	0	m	0	3	1981	147	-11.897627913493697
862	0	f	1	3	1981	147	2.8491458204649835
890	0	m	2	3	1981	147	-16.743449859370056
895	0	f	2	1	1981	147	4.483375885730376
899	1	f	1	2	1981	147	3.4849027784243605
5	0	m	2	1	1982	131	-13.154572722396512
9	2	m	0	2	1982	131	NA
19	1	m	1	3	1982	131	-11.053298430228262
20	1	m	0	3	1982	131	NA
48	1	f	0	2	1982	131	7.4780493758999755
72	0	f	2	1	1982	131	3.55522682347841
102	0	m	2	1	1982	131	-3.9129567158247336
107	2	m	0	2	1982	131	-14.689196010720512
111	2	m	1	2	1982	131	-7.648073040666362
134	1	f	2	3	1982	131	7.397963062935753
135	1	f	2	3	1982	131	7.78715363623174
156	2	f	2	1	1982	131	8.800388843379665
185	0	m	0	3	1982	131	-8.464439253269752
186	0	m	2	3	1982	131	-8.799111334599903
197	0	m	1	2	1982	131	NA
217	2	m	1	1	1982	131	-4.8196784937680155
222	1	f	2	2	1982	131	4.344299927769681
224	0	m	1	3	1982	131	-9.187326103070385
234	0	m	0	2	1982	131	-3.883262553284557
243	0	f	1	3	1982	131	5.795675415598488
267	0	m	0	3	1982	131	-7.99973202399871
277	2	m	0	1	1982	131	-5.481622928204544
289	0	f	2	3	1982	131	-2.5224645701281365
290	0	m	2	3	1982	131	-6.710698992833998
334	0	f	1	3	1982	131	-2.9213178564665903
353	0	f	2	1	1982	131	7.351817849168168
377	0	f	1	3	1982	131	9.221470804787108
403	0	m	1	1	1982	131	-8.137038163075
417	0	f	0	2	1982	131	-1.8491415937616478
422	2	m	1	2	1982	131	-3.9118662896610052
427	0	m	2	1	1982	131	-9.268723508468211
438	1	m	2	3	1982	131	-11.033246810259092
465	1	f	0	3	1982	131	4.431496848477562
480	0	f	2	2	1982	131	3.2270746365148235
504	0	m	2	2	1982	131	-9.187365076876816
518	2	f	1	1	1982	131	10.82952266434893
524	1	f	1	3	1982	131	7.066787800053652
529	2	f	2	1	1982	131	1.251475755629377
531	2	f	2	1	1982	131	2.832381929743029
544	1	m	1	1	1982	131	-3.135931612291846
547	2	f	1	2	1982	131	-0.6232221213590182
619	0	f	2	1	1982	131	1.6010049550469108
658	0	f	1	1	1982	131	3.257303781340993
676	1	f	0	2	1982	131	NA
685	2	m	1	3	1982	131	-3.91801900582736
686	1	f	0	1	1982	131	NA
693	1	m	0	3	1982	131	-2.7553819335443683
694	0	m	0	2	1982	131	0.7179045635781114
720	1	m	2	3	1982	131	-7.610651618946436
725	2	m	0	1	1982	131	-6.3352860281419385
729	0	f	0	3	1982	131	7.972424643177894
740	2	f	1	2	1982	131	4.401566052811788
752	1	m	0	3	1982	131	-12.663074430931045
753	1	m	1	2	1982	131	-3.957787066867008
757	2	f	2	3	1982	131	4.302778412350332
770	1	m	2	1	1982	131	-7.624653546064867
776	0	f	2	2	1982	131	-1.0449568177487747
795	0	f	2	2	1982	131	6.986788852323424
813	2	m	2	2	1982	131	-3.9955331956479982
816	2	f	2	3	1982	131	NA
818	1	m	1	3	1982	131	-9.815117218930416
862	1	f	0	3	1982	131	NA
889	0	f	2	1	1982	131	5.300956700189879
890	1	m	2	3	1982	131	-4.679698631353407
895	1	f	0	1	1982	131	4.351363202299613
899	2	f	2	2	1982	131	4.386601897494899
904	0	m	2	3	1982	131	-12.77673240161602
5	1	m	2	1	1983	156	-4.740900329587677
9	3	m	1	2	1983	156	-4.519891039608144
19	2	m	1	3	1983	156	-7.372697991243068
20	2	m	2	3	1983	156	-9.539151643999293
36	0	m	0	2	1983	156	-10.994364681712373
48	2	f	0	2	1983	156	7.530219742189412
72	1	f	2	1	1983	156	5.844344845049589
96	0	f	2	1	1983	156	14.08462165061234
102	1	m	0	1	1983	156	-3.7747903231957505
107	3	m	2	2	1983	156	-7.561115910280832
109	0	f	0	2	1983	156	-4.563923758132004
111	3	m	2	2	1983	156	-10.289939889733306
134	2	f	2	3	1983	156	9.349354515869528
135	2	f	0	3	1983	156	8.26773256648963
156	3	f	2	1	1983	156	NA
185	1	m	1	3	1983	156	-7.120055150593694
186	1	m	0	3	1983	156	NA
197	1	m	0	2	1983	156	-11.671549776877853
217	3	m	1	1	1983	156	-9.21913689337077
222	2	f	0	2	1983	156	4.825281280976768
